      cap_crs4_0_0_0  |  alveolus_air_0_0_0  |                crs4 type4 cap  |-4.96*cm -1.18555321565427*cm -12.4524337261468*cm  |                    -5*deg 180*deg 0*deg  | 555555   |                 Box  |                                    3.085*cm 3.325*cm 0.5*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 cap_hole_crs4_0_0_0  |      cap_crs4_0_0_0  |           crs4 type4 cap hole  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                              0*cm 2*cm 0.5*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          crs5_0_0_0  |  alveolus_air_0_0_0  |                    crs5 type5  |                             1.37*cm -2.09*cm 0*cm  |                       5*deg 0*deg 0*deg  | 00ffff   |                 Trd  |                      1.08*cm 3.235*cm 1.04*cm 3.14*cm 12*cm  |              G4_BGO  |                  no  |     1   |     1   |     1   |   1   |   1   |                 crs  |                 crs  |sector manual 5 xch manual 0 ych manual 0 zch manual 0 SiPM manual 6025 
      cap_crs5_0_0_0  |  alveolus_air_0_0_0  |                crs5 type5 cap  |  1.37*cm -1.00055321565427*cm 12.4524337261468*cm  |                       5*deg 0*deg 0*deg  | 555555   |                 Box  |                                     3.235*cm 3.14*cm 0.5*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 cap_hole_crs5_0_0_0  |      cap_crs5_0_0_0  |           crs5 type5 cap hole  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                              0*cm 2*cm 0.5*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          crs6_0_0_0  |  alveolus_air_0_0_0  |                    crs6 type6  |                 7.95000000000001*cm -1.99*cm 0*cm  |                    -5*deg 180*deg 0*deg  | 00ffff   |                 Trd  |                      1.04*cm 3.335*cm 0.94*cm 3.04*cm 12*cm  |              G4_BGO  |                  no  |     1   |     1   |     1   |   1   |   1   |                 crs  |                 crs  |sector manual 6 xch manual 0 ych manual 0 zch manual 0 SiPM manual 6025 
      cap_crs6_0_0_0  |  alveolus_air_0_0_0  |                crs6 type6 cap  |7.95000000000001*cm -0.900553215654273*cm -12.4524337261468*cm  |                    -5*deg 180*deg 0*deg  | 555555   |                 Box  |                                     3.335*cm 3.04*cm 0.5*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 cap_hole_crs6_0_0_0  |      cap_crs6_0_0_0  |           crs6 type6 cap hole  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                              0*cm 2*cm 0.5*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          crs7_0_0_0  |  alveolus_air_0_0_0  |                    crs7 type7  |                          14.665*cm -1.885*cm 0*cm  |                  4.8335*deg 0*deg 0*deg  | 00ffff   |                 Trd  |                       1.005*cm 3.37*cm 0.87*cm 2.9*cm 12*cm  |              G4_BGO  |                  no  |     1   |     1   |     1   |   1   |   1   |                 crs  |                 crs  |sector manual 7 xch manual 0 ych manual 0 zch manual 0 SiPM manual 6025 
      cap_crs7_0_0_0  |  alveolus_air_0_0_0  |                crs7 type7 cap  |14.665*cm -0.831744203475327*cm 12.4555470464804*cm  |                  4.8335*deg 0*deg 0*deg  | 555555   |                 Box  |                                       3.37*cm 2.9*cm 0.5*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 cap_hole_crs7_0_0_0  |      cap_crs7_0_0_0  |           crs7 type7 cap hole  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                              0*cm 2*cm 0.5*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          crs8_0_0_0  |  alveolus_air_0_0_0  |                    crs8 type8  |                           21.385*cm -1.86*cm 0*cm  |               -4.8335*deg 180*deg 0*deg  | 00ffff   |                 Trd  |                     0.98*cm 3.34*cm 0.845*cm 2.875*cm 12*cm  |              G4_BGO  |                  no  |     1   |     1   |     1   |   1   |   1   |                 crs  |                 crs  |sector manual 8 xch manual 0 ych manual 0 zch manual 0 SiPM manual 6025 
      cap_crs8_0_0_0  |  alveolus_air_0_0_0  |                crs8 type8 cap  |21.385*cm -0.806744203475326*cm -12.4555470464804*cm  |               -4.8335*deg 180*deg 0*deg  | 555555   |                 Box  |                                     3.34*cm 2.875*cm 0.5*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 cap_hole_crs8_0_0_0  |      cap_crs8_0_0_0  |           crs8 type8 cap hole  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                              0*cm 2*cm 0.5*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          scint_down  |     detector_volume  |            plastic scint down  |                                 0*cm -5.2*cm 0*cm  |                      0*deg 90*deg 0*deg  | 555555   |                 Box  |                                          15*cm 0.5*cm 28*cm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   1   |               scint  |               scint  |sector manual 5 xch manual 0 ych manual 0 zch manual 0 
